Nombre_remitente,Email_remitente,Nombre_destinatario,Email_destinatario,Asunto,Contenido,Fecha,Message-ID
Miguel Simó Galindo,miguel.simó.galindo@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,trato poco amable por parte del personal de control,"Me gustaría relatarles una situación que me afectó bastante: trato poco amable por parte del personal de control. Fue un inconveniente serio porque no recibí información clara en ningún momento. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Miguel Simó Galindo Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-12-03 18:46,4a280b00-6918-4853-b87d-b0537cd5c053
Américo Mas Correa,américo.mas.correa@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,calefacción averiada,"Tuve un problema durante el viaje y considero necesario notificarlo: calefacción averiada. Esto generó bastante estrés ya que tenía compromisos importantes después. Tuve que reorganizar citas y generar cambios de última hora. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Américo Mas Correa Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-10-25 16:06,fed0ea37-009d-4068-a813-7f70798d054a
Adriana Jordana Hervia Garzón,adriana.jordana.hervia.garzón@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una sugerencia para mejorar la información sobre retrasos,"He experimentado un inconveniente durante mi viaje que deseo compartir: una sugerencia para mejorar la información sobre retrasos. Esto generó bastante estrés ya que tenía compromisos importantes después. Esto provocó gastos adicionales que no debería haber tenido. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Adriana Jordana Hervia Garzón Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-08-20 15:14,4b0cc8ea-433e-4df3-b893-6458ce6e1bbb
Amador Pedraza Gutiérrez,amador.pedraza.gutiérrez@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,ventanas sucias,"En mi último trayecto ocurrió algo que considero importante comunicar: ventanas sucias. Esto generó bastante estrés ya que tenía compromisos importantes después. A causa de ello, llegué mucho más tarde de lo previsto. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Amador Pedraza Gutiérrez Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-11-24 08:41,55e2dc0b-639a-47f3-9585-50c078f27a6b
Nydia Jover Toro,nydia.jover.toro@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,dudas sobre la tarjeta de descuento,"Quiero detallar un problema que tuve recientemente en el tren: dudas sobre la tarjeta de descuento. El problema se agravó porque no había alternativas evidentes en ese momento. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Nydia Jover Toro Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-02-25 21:43,e8a8154d-2a97-4858-a86e-74bee1b92887
Domingo Arnal,domingo.arnal@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,la rampa para silla de ruedas no estaba disponible,"Me gustaría relatarles una situación que me afectó bastante: la rampa para silla de ruedas no estaba disponible. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Domingo Arnal Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-01-24 09:30,7d377d28-7316-4fc8-93b0-9ba895e44eda
Arcelia Marín Bárcena,arcelia.marín.bárcena@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,haber recibido información poco clara del servicio de objetos perdidos,"Me gustaría relatarles una situación que me afectó bastante: haber recibido información poco clara del servicio de objetos perdidos. Esto generó bastante estrés ya que tenía compromisos importantes después. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Arcelia Marín Bárcena Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-07-23 21:26,20cf8c73-ae78-409b-93b5-0a3952b0b766
Sara Ugarte Cañete,sara.ugarte.cañete@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,la cancelación del tren por condiciones meteorológicas,"Me pongo en contacto porque he vivido una situación complicada: la cancelación del tren por condiciones meteorológicas. Fue un inconveniente serio porque no recibí información clara en ningún momento. Tuve que reorganizar citas y generar cambios de última hora. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Sara Ugarte Cañete Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-10-24 17:06,8d552870-dd6a-4b42-a86d-186fc5f67ce1
Wálter Porfirio Cerdá Agustín,wálter.porfirio.cerdá.agustín@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un asiento reservado ocupado por otra persona,"Me pongo en contacto porque he vivido una situación complicada: un asiento reservado ocupado por otra persona. Fue un inconveniente serio porque no recibí información clara en ningún momento. Esto provocó gastos adicionales que no debería haber tenido. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Wálter Porfirio Cerdá Agustín Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-04-20 18:53,3f8f41c7-3d75-49dc-ae4e-df3ca113d725
Reinaldo Llabrés Cervera,reinaldo.llabrés.cervera@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,baños sucios o averiados,"Quisiera explicar lo que ocurrió durante mi último viaje: baños sucios o averiados. La situación fue especialmente problemática porque afectó toda mi organización. Como consecuencia, perdí mi conexión con otro transporte. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Reinaldo Llabrés Cervera Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-11-16 06:49,01b8e812-0dae-48cc-b596-ea797cff65d9
